airport_code,airport_name,city,country,timezone,latitude,longitude,created_at,updated_at
CGK,Soekarno-Hatta Intl,Jakarta,Indonesia,Asia/Jakarta,-6.1256,106.6558,2021-05-21 03:19:35,2025-10-14 01:45:25
SUB,Juanda Intl,Surabaya,Indonesia,Asia/Jakarta,-7.3798,112.7866,2020-06-16 10:50:42,2025-09-11 07:33:00
DPS,Ngurah Rai Intl,Denpasar,Indonesia,Asia/Makassar,-8.7482,115.1672,2020-03-03 12:12:39,2020-03-03 12:12:39
MDC,Sam Ratulangi Intl,Manado,Indonesia,Asia/Makassar,1.5493,124.9257,2020-03-15 02:54:08,2020-03-15 02:54:08
UPG,Sultan Hasanuddin Intl,Makassar,Indonesia,Asia/Makassar,-5.0617,119.554,2019-07-12 02:52:38,2019-07-12 02:52:38
BDO,Husein Sastranegara,Bandung,Indonesia,Asia/Jakarta,-6.9006,107.5762,2019-04-04 18:38:31,2019-04-04 18:38:31
PLM,SM Badaruddin II,Palembang,Indonesia,Asia/Jakarta,-2.8982,104.7,2021-08-14 19:46:58,2021-08-14 19:46:58
SIN,Changi Intl,Singapore,Singapore,Asia/Singapore,1.3644,103.9915,2020-05-26 20:34:25,2024-04-29 16:42:55
KUL,Kuala Lumpur Intl,Kuala Lumpur,Malaysia,Asia/KL,2.7456,101.7099,2021-08-26 18:59:27,2021-08-26 18:59:27
BKK,Suvarnabhumi Intl,Bangkok,Thailand,Asia/Bangkok,13.69,100.7501,2021-11-03 01:18:13,2024-12-01 11:45:36
HKG,Hong Kong Intl,Hong Kong,China,Asia/HK,22.308,113.9185,2021-09-17 01:16:01,2021-09-17 01:16:01
NRT,Narita Intl,Tokyo,Japan,Asia/Tokyo,35.772,140.3929,2021-10-18 18:43:56,2022-02-12 05:54:40
SYD,Kingsford Smith Intl,Sydney,Australia,Australia/Sydney,-33.9399,151.1753,2020-01-12 09:34:58,2023-01-13 21:18:51
LHR,Heathrow,London,UK,Europe/London,51.4775,-0.4614,2021-11-01 17:52:41,2021-11-01 17:52:41
DXB,Dubai Intl,Dubai,UAE,Asia/Dubai,25.2528,55.3644,2019-08-25 06:29:34,2019-08-25 06:29:34
