guest_id,customer_key,loyalty_tier,preferred_room_type,special_requests,created_at,updated_at
CUS0000001,1,BLUE,SUP,,2021-08-08 14:10:45,2021-08-08 14:10:45
CUS0000002,3,BLUE,STD,,2022-11-17 15:26:28,2025-05-21 06:09:50
CUS0000003,4,SILVER,STD,Non-smoking,2023-01-21 03:14:58,2024-05-21 13:55:03
CUS0000004,5,SILVER,EXE,King bed,2022-09-18 12:58:41,2025-01-18 05:39:14
CUS0000005,6,BLUE,STD,,2022-04-07 09:43:28,2024-08-24 12:10:24
CUS0000006,7,BLUE,SUT,,2022-07-23 00:55:10,2024-09-11 16:12:33
CUS0000007,8,SILVER,SUT,Near elevator,2023-02-05 03:04:33,2023-02-05 03:04:33
CUS0000008,9,BLUE,EXE,,2022-01-09 11:50:41,2022-01-09 11:50:41
CUS0000009,10,BLUE,SUP,High floor,2022-03-19 01:25:45,2022-10-18 19:57:19
CUS0000010,11,BLUE,SUP,,2021-12-04 14:42:13,2021-12-04 14:42:13
CUS0000011,12,SILVER,STD,Near elevator,2022-04-21 09:26:19,2022-06-07 00:29:04
CUS0000012,13,BLUE,DLX,,2022-02-12 01:16:44,2022-07-15 23:25:36
CUS0000013,15,BLUE,EXE,High floor,2023-05-20 12:10:36,2025-08-18 18:44:43
CUS0000014,16,BLUE,SUT,Near elevator,2021-10-25 10:18:02,2025-03-29 16:57:03
CUS0000015,17,BLUE,SUT,,2021-10-08 11:28:55,2022-04-02 10:00:38
CUS0000016,18,BLUE,STD,Near elevator,2021-09-30 23:00:00,2023-10-12 23:24:37
CUS0000017,19,SILVER,DLX,High floor,2021-07-10 05:52:43,2021-07-10 05:52:43
CUS0000018,20,BLUE,STD,Non-smoking,2022-04-19 02:49:02,2022-04-19 02:49:02
CUS0000019,21,BLUE,DLX,,2021-06-08 15:05:58,2021-06-08 15:05:58
CUS0000020,22,BLUE,DLX,Near elevator,2021-09-29 16:05:01,2022-11-25 17:56:31
CUS0000021,23,BLUE,DLX,King bed,2021-09-30 23:54:48,2022-06-19 17:04:41
CUS0000022,25,BLUE,STD,,2023-08-16 08:16:24,2025-04-25 09:11:00
CUS0000023,26,BLUE,SUT,,2022-10-26 13:45:02,2025-11-13 17:48:08
