room_id,hotel_id,room_number,room_type_code,room_type_name,base_rate_usd,is_active,created_at,updated_at
RM-HTL0001-101,HTL0001,101,SUP,Superior Room,74.62,1,2020-03-15 23:02:47,2020-05-05 21:01:15
RM-HTL0001-102,HTL0001,102,STD,Standard Room,62.53,1,2020-02-21 05:54:55,2021-01-14 21:03:09
RM-HTL0001-103,HTL0001,103,SUP,Superior Room,81.79,1,2020-02-25 19:27:13,2020-02-25 19:27:13
RM-HTL0001-104,HTL0001,104,STD,Standard Room,45.23,1,2020-02-19 00:16:01,2020-02-19 00:16:01
RM-HTL0001-105,HTL0001,105,EXE,Executive Suite,395.81,1,2020-02-17 02:03:55,2020-12-09 07:01:44
RM-HTL0001-106,HTL0001,106,DLX,Deluxe Room,112.53,1,2020-03-06 08:00:18,2020-07-25 21:03:43
RM-HTL0001-107,HTL0001,107,SUP,Superior Room,84.78,1,2020-03-07 08:02:41,2023-06-02 16:19:57
RM-HTL0001-108,HTL0001,108,SUP,Superior Room,74.84,1,2020-02-27 17:28:07,2022-07-15 05:30:10
RM-HTL0001-109,HTL0001,109,EXE,Executive Suite,411.75,1,2020-02-14 12:56:31,2020-06-10 18:31:54
RM-HTL0001-110,HTL0001,110,SUP,Superior Room,73.66,1,2020-02-15 08:33:19,2022-12-23 23:19:48
RM-HTL0001-111,HTL0001,111,SUP,Superior Room,110.79,1,2020-03-01 01:33:59,2025-03-02 05:59:58
RM-HTL0001-112,HTL0001,112,DLX,Deluxe Room,112.39,1,2020-02-29 03:33:14,2021-03-07 02:24:46
RM-HTL0001-113,HTL0001,113,EXE,Executive Suite,407.23,1,2020-03-07 18:04:48,2025-01-27 03:45:00
RM-HTL0001-114,HTL0001,114,SUP,Superior Room,86.82,1,2020-03-08 19:29:20,2022-02-12 05:25:21
RM-HTL0001-115,HTL0001,115,EXE,Executive Suite,396.54,1,2020-03-01 11:14:51,2026-04-04 23:00:11
RM-HTL0001-116,HTL0001,116,SUP,Superior Room,74.83,1,2020-02-27 06:59:48,2020-12-19 14:34:58
RM-HTL0001-117,HTL0001,117,EXE,Executive Suite,407.56,1,2020-02-20 08:32:58,2020-02-20 08:32:58
RM-HTL0001-118,HTL0001,118,SUT,Suite Room,248.7,1,2020-02-20 04:57:51,2023-06-03 20:40:07
RM-HTL0001-119,HTL0001,119,DLX,Deluxe Room,144.1,1,2020-02-20 00:33:54,2021-06-01 19:54:52
RM-HTL0001-120,HTL0001,120,DLX,Deluxe Room,112.1,1,2020-02-20 17:01:11,2020-06-10 06:52:27
RM-HTL0001-121,HTL0001,121,STD,Standard Room,63.83,1,2020-02-26 04:58:13,2020-02-26 04:58:13
RM-HTL0001-122,HTL0001,122,SUP,Superior Room,70.58,1,2020-03-09 18:44:38,2020-03-09 18:44:38
RM-HTL0001-123,HTL0001,123,DLX,Deluxe Room,113.68,1,2020-03-09 08:06:57,2020-03-12 03:46:34
RM-HTL0001-124,HTL0001,124,STD,Standard Room,56.17,1,2020-03-08 02:30:07,2024-12-07 16:07:15
RM-HTL0001-125,HTL0001,125,EXE,Executive Suite,411.17,1,2020-02-22 17:57:56,2024-01-04 11:15:28
RM-HTL0001-126,HTL0001,126,SUP,Superior Room,76.52,1,2020-02-15 03:36:50,2020-02-15 03:36:50
RM-HTL0001-127,HTL0001,127,DLX,Deluxe Room,118.3,1,2020-02-21 09:40:25,2020-02-21 09:40:25
RM-HTL0001-128,HTL0001,128,EXE,Executive Suite,409.75,1,2020-02-16 11:42:09,2021-06-29 16:57:34
RM-HTL0001-129,HTL0001,129,SUT,Suite Room,264.93,1,2020-03-14 09:53:10,2025-11-30 21:05:36
RM-HTL0001-130,HTL0001,130,EXE,Executive Suite,400.73,1,2020-03-12 10:25:16,2020-03-12 10:25:16
RM-HTL0001-131,HTL0001,131,STD,Standard Room,51.77,1,2020-02-22 13:12:43,2025-08-21 00:45:00
RM-HTL0001-132,HTL0001,132,STD,Standard Room,48.85,1,2020-02-16 13:01:22,2024-09-21 18:23:44
RM-HTL0001-133,HTL0001,133,EXE,Executive Suite,401.41,1,2020-02-14 15:34:48,2020-02-14 15:34:48
RM-HTL0001-134,HTL0001,134,STD,Standard Room,94.65,1,2020-03-15 08:26:15,2022-04-04 13:57:57
RM-HTL0001-135,HTL0001,135,DLX,Deluxe Room,121.84,1,2020-03-07 04:00:08,2023-08-27 20:39:01
RM-HTL0001-136,HTL0001,136,SUT,Suite Room,255.53,1,2020-02-16 20:25:13,2020-02-16 20:25:13
RM-HTL0001-137,HTL0001,137,SUP,Superior Room,84.97,1,2020-03-08 05:59:03,2020-03-08 05:59:03
RM-HTL0001-138,HTL0001,138,DLX,Deluxe Room,109.35,1,2020-02-18 05:02:20,2025-07-24 04:15:27
