date_key,full_date,day_of_week,day_num,week_num,month_num,month_name,quarter,year,is_weekend,is_holiday,season
1,2022-01-01,Saturday,6,52,1,January,1,2022,True,True,Summer
2,2022-01-02,Sunday,7,52,1,January,1,2022,True,False,Summer
3,2022-01-03,Monday,1,1,1,January,1,2022,False,False,Summer
4,2022-01-04,Tuesday,2,1,1,January,1,2022,False,False,Summer
5,2022-01-05,Wednesday,3,1,1,January,1,2022,False,False,Summer
6,2022-01-06,Thursday,4,1,1,January,1,2022,False,False,Summer
7,2022-01-07,Friday,5,1,1,January,1,2022,False,False,Summer
8,2022-01-08,Saturday,6,1,1,January,1,2022,True,False,Summer
9,2022-01-09,Sunday,7,1,1,January,1,2022,True,False,Summer
10,2022-01-10,Monday,1,2,1,January,1,2022,False,False,Summer
11,2022-01-11,Tuesday,2,2,1,January,1,2022,False,False,Summer
12,2022-01-12,Wednesday,3,2,1,January,1,2022,False,False,Summer
13,2022-01-13,Thursday,4,2,1,January,1,2022,False,False,Summer
14,2022-01-14,Friday,5,2,1,January,1,2022,False,False,Summer
15,2022-01-15,Saturday,6,2,1,January,1,2022,True,False,Summer
16,2022-01-16,Sunday,7,2,1,January,1,2022,True,False,Summer
17,2022-01-17,Monday,1,3,1,January,1,2022,False,False,Summer
18,2022-01-18,Tuesday,2,3,1,January,1,2022,False,False,Summer
19,2022-01-19,Wednesday,3,3,1,January,1,2022,False,False,Summer
20,2022-01-20,Thursday,4,3,1,January,1,2022,False,False,Summer
21,2022-01-21,Friday,5,3,1,January,1,2022,False,False,Summer
22,2022-01-22,Saturday,6,3,1,January,1,2022,True,False,Summer
23,2022-01-23,Sunday,7,3,1,January,1,2022,True,False,Summer
24,2022-01-24,Monday,1,4,1,January,1,2022,False,False,Summer
25,2022-01-25,Tuesday,2,4,1,January,1,2022,False,False,Summer
26,2022-01-26,Wednesday,3,4,1,January,1,2022,False,False,Summer
27,2022-01-27,Thursday,4,4,1,January,1,2022,False,False,Summer
28,2022-01-28,Friday,5,4,1,January,1,2022,False,False,Summer
29,2022-01-29,Saturday,6,4,1,January,1,2022,True,False,Summer
30,2022-01-30,Sunday,7,4,1,January,1,2022,True,False,Summer
31,2022-01-31,Monday,1,5,1,January,1,2022,False,False,Summer
32,2022-02-01,Tuesday,2,5,2,February,1,2022,False,False,Summer
33,2022-02-02,Wednesday,3,5,2,February,1,2022,False,False,Summer
34,2022-02-03,Thursday,4,5,2,February,1,2022,False,False,Summer
35,2022-02-04,Friday,5,5,2,February,1,2022,False,False,Summer
36,2022-02-05,Saturday,6,5,2,February,1,2022,True,False,Summer
37,2022-02-06,Sunday,7,5,2,February,1,2022,True,False,Summer
38,2022-02-07,Monday,1,6,2,February,1,2022,False,False,Summer
39,2022-02-08,Tuesday,2,6,2,February,1,2022,False,False,Summer
40,2022-02-09,Wednesday,3,6,2,February,1,2022,False,False,Summer
41,2022-02-10,Thursday,4,6,2,February,1,2022,False,False,Summer
42,2022-02-11,Friday,5,6,2,February,1,2022,False,False,Summer
43,2022-02-12,Saturday,6,6,2,February,1,2022,True,False,Summer
44,2022-02-13,Sunday,7,6,2,February,1,2022,True,False,Summer
45,2022-02-14,Monday,1,7,2,February,1,2022,False,False,Summer
46,2022-02-15,Tuesday,2,7,2,February,1,2022,False,False,Summer
47,2022-02-16,Wednesday,3,7,2,February,1,2022,False,False,Summer
48,2022-02-17,Thursday,4,7,2,February,1,2022,False,False,Summer
49,2022-02-18,Friday,5,7,2,February,1,2022,False,False,Summer
50,2022-02-19,Saturday,6,7,2,February,1,2022,True,False,Summer
51,2022-02-20,Sunday,7,7,2,February,1,2022,True,False,Summer
52,2022-02-21,Monday,1,8,2,February,1,2022,False,False,Summer
53,2022-02-22,Tuesday,2,8,2,February,1,2022,False,False,Summer
54,2022-02-23,Wednesday,3,8,2,February,1,2022,False,False,Summer
55,2022-02-24,Thursday,4,8,2,February,1,2022,False,False,Summer
56,2022-02-25,Friday,5,8,2,February,1,2022,False,False,Summer
57,2022-02-26,Saturday,6,8,2,February,1,2022,True,False,Summer
58,2022-02-27,Sunday,7,8,2,February,1,2022,True,False,Summer
59,2022-02-28,Monday,1,9,2,February,1,2022,False,False,Summer
60,2022-03-01,Tuesday,2,9,3,March,1,2022,False,False,Fall
61,2022-03-02,Wednesday,3,9,3,March,1,2022,False,False,Fall
62,2022-03-03,Thursday,4,9,3,March,1,2022,False,False,Fall
63,2022-03-04,Friday,5,9,3,March,1,2022,False,False,Fall
64,2022-03-05,Saturday,6,9,3,March,1,2022,True,False,Fall
65,2022-03-06,Sunday,7,9,3,March,1,2022,True,False,Fall
66,2022-03-07,Monday,1,10,3,March,1,2022,False,False,Fall
67,2022-03-08,Tuesday,2,10,3,March,1,2022,False,False,Fall
68,2022-03-09,Wednesday,3,10,3,March,1,2022,False,False,Fall
69,2022-03-10,Thursday,4,10,3,March,1,2022,False,False,Fall
70,2022-03-11,Friday,5,10,3,March,1,2022,False,False,Fall
71,2022-03-12,Saturday,6,10,3,March,1,2022,True,False,Fall
72,2022-03-13,Sunday,7,10,3,March,1,2022,True,False,Fall
73,2022-03-14,Monday,1,11,3,March,1,2022,False,False,Fall
74,2022-03-15,Tuesday,2,11,3,March,1,2022,False,False,Fall
75,2022-03-16,Wednesday,3,11,3,March,1,2022,False,False,Fall
76,2022-03-17,Thursday,4,11,3,March,1,2022,False,False,Fall
77,2022-03-18,Friday,5,11,3,March,1,2022,False,False,Fall
78,2022-03-19,Saturday,6,11,3,March,1,2022,True,False,Fall
79,2022-03-20,Sunday,7,11,3,March,1,2022,True,False,Fall
80,2022-03-21,Monday,1,12,3,March,1,2022,False,False,Fall
81,2022-03-22,Tuesday,2,12,3,March,1,2022,False,False,Fall
82,2022-03-23,Wednesday,3,12,3,March,1,2022,False,False,Fall
83,2022-03-24,Thursday,4,12,3,March,1,2022,False,False,Fall
84,2022-03-25,Friday,5,12,3,March,1,2022,False,False,Fall
