profile_key,passenger_id,frequent_flyer_num,preferred_seat,preferred_meal,special_assistance,marketing_consent,lifetime_segments_flown,lifetime_miles_earned,customer_segment,scd_effective_date,scd_expiry_date,scd_current_flag,scd_version
1,PAX0000001,FF00000001,Window,Halal,Wheelchair,False,13,47789,Student,2022-01-01,9999-12-31,True,1
2,PAX0000002,FF00000002,Aisle,Vegetarian,WCHR,False,3,29414,Business Traveler,2022-01-01,2023-03-31,False,1
3002,PAX0000002,FF00000002,Aisle,Vegetarian,WCHR,False,17,49304,Family,2023-04-01,9999-12-31,True,2
3,PAX0000003,FF00000003,No Preference,Child,None,True,10,53662,Senior,2022-01-01,9999-12-31,True,1
4,PAX0000004,FF00000004,Window,Standard,None,False,28,366,Student,2022-01-01,2023-03-31,False,1
3004,PAX0000004,FF00000004,Window,Standard,None,False,44,11866,Student,2023-04-01,9999-12-31,True,2
5,PAX0000005,FF00000005,Aisle,Standard,Wheelchair,False,13,1596,Family,2022-01-01,9999-12-31,True,1
6,PAX0000006,FF00000006,Window,Vegan,Wheelchair,True,9,10174,Family,2022-01-01,2023-03-31,False,1
3006,PAX0000006,FF00000006,Window,Vegan,Wheelchair,True,14,23275,Student,2023-04-01,9999-12-31,True,2
7,PAX0000007,FF00000007,No Preference,Vegetarian,None,True,4,13060,Senior,2022-01-01,9999-12-31,True,1
8,PAX0000008,FF00000008,Window,Halal,None,True,11,12196,Family,2022-01-01,9999-12-31,True,1
9,PAX0000009,FF00000009,No Preference,Child,WCHC,True,15,15551,Senior,2022-01-01,2023-03-31,False,1
3009,PAX0000009,FF00000009,No Preference,Child,WCHC,True,32,30827,Family,2023-04-01,9999-12-31,True,2
10,PAX0000010,FF00000010,Aisle,None,None,False,0,45940,Student,2022-01-01,9999-12-31,True,1
11,PAX0000011,FF00000011,Window,Halal,None,True,4,17009,Leisure,2022-01-01,9999-12-31,True,1
12,PAX0000012,FF00000012,No Preference,Vegetarian,None,True,13,12124,Business Traveler,2022-01-01,9999-12-31,True,1
13,PAX0000013,FF00000013,No Preference,None,None,False,0,14048,Business Traveler,2022-01-01,9999-12-31,True,1
14,PAX0000014,FF00000014,No Preference,Halal,None,True,34,30794,Senior,2022-01-01,9999-12-31,True,1
15,PAX0000015,FF00000015,Aisle,Child,None,False,13,30013,Business Traveler,2022-01-01,9999-12-31,True,1
16,PAX0000016,FF00000016,No Preference,Vegan,None,True,2,16255,Student,2022-01-01,9999-12-31,True,1
17,PAX0000017,FF00000017,Window,None,None,False,16,3206,Family,2022-01-01,9999-12-31,True,1
18,PAX0000018,FF00000018,Window,None,None,False,3,9702,Leisure,2022-01-01,9999-12-31,True,1
19,PAX0000019,FF00000019,Aisle,Halal,None,False,6,117918,Student,2022-01-01,9999-12-31,True,1
20,PAX0000020,FF00000020,No Preference,Vegan,None,False,0,21937,Business Traveler,2022-01-01,9999-12-31,True,1
21,PAX0000021,FF00000021,Aisle,Child,None,True,2,105881,Family,2022-01-01,2023-03-31,False,1
3021,PAX0000021,FF00000021,Aisle,Child,None,True,12,122883,Senior,2023-04-01,9999-12-31,True,2
22,PAX0000022,FF00000022,No Preference,Vegetarian,Wheelchair,True,1,15505,Senior,2022-01-01,9999-12-31,True,1
23,PAX0000023,FF00000023,Window,Vegan,None,False,16,36578,Senior,2022-01-01,9999-12-31,True,1
24,PAX0000024,FF00000024,Aisle,Vegetarian,None,False,6,12763,Leisure,2022-01-01,9999-12-31,True,1
25,PAX0000025,FF00000025,Aisle,Standard,None,False,6,9207,Leisure,2022-01-01,9999-12-31,True,1
26,PAX0000026,FF00000026,No Preference,Standard,None,True,2,19793,Family,2022-01-01,9999-12-31,True,1
