time_key,hour,minute,time_str,period_of_day,is_peak_hour
0,0,0,00:00,Night,False
15,0,15,00:15,Night,False
30,0,30,00:30,Night,False
45,0,45,00:45,Night,False
100,1,0,01:00,Night,False
115,1,15,01:15,Night,False
130,1,30,01:30,Night,False
145,1,45,01:45,Night,False
200,2,0,02:00,Night,False
215,2,15,02:15,Night,False
230,2,30,02:30,Night,False
245,2,45,02:45,Night,False
300,3,0,03:00,Night,False
315,3,15,03:15,Night,False
330,3,30,03:30,Night,False
345,3,45,03:45,Night,False
400,4,0,04:00,Night,False
415,4,15,04:15,Night,False
430,4,30,04:30,Night,False
445,4,45,04:45,Night,False
500,5,0,05:00,Night,False
515,5,15,05:15,Night,False
530,5,30,05:30,Night,False
545,5,45,05:45,Night,False
600,6,0,06:00,Morning,False
615,6,15,06:15,Morning,False
630,6,30,06:30,Morning,False
645,6,45,06:45,Morning,False
700,7,0,07:00,Morning,True
715,7,15,07:15,Morning,True
730,7,30,07:30,Morning,True
745,7,45,07:45,Morning,True
800,8,0,08:00,Morning,True
815,8,15,08:15,Morning,True
830,8,30,08:30,Morning,True
845,8,45,08:45,Morning,True
900,9,0,09:00,Morning,True
915,9,15,09:15,Morning,True
930,9,30,09:30,Morning,True
945,9,45,09:45,Morning,True
1000,10,0,10:00,Morning,False
1015,10,15,10:15,Morning,False
1030,10,30,10:30,Morning,False
1045,10,45,10:45,Morning,False
1100,11,0,11:00,Morning,False
1115,11,15,11:15,Morning,False
1130,11,30,11:30,Morning,False
1145,11,45,11:45,Morning,False
1200,12,0,12:00,Afternoon,False
1215,12,15,12:15,Afternoon,False
1230,12,30,12:30,Afternoon,False
1245,12,45,12:45,Afternoon,False
1300,13,0,13:00,Afternoon,False
1315,13,15,13:15,Afternoon,False
1330,13,30,13:30,Afternoon,False
1345,13,45,13:45,Afternoon,False
1400,14,0,14:00,Afternoon,False
1415,14,15,14:15,Afternoon,False
1430,14,30,14:30,Afternoon,False
1445,14,45,14:45,Afternoon,False
1500,15,0,15:00,Afternoon,False
1515,15,15,15:15,Afternoon,False
1530,15,30,15:30,Afternoon,False
1545,15,45,15:45,Afternoon,False
1600,16,0,16:00,Afternoon,False
1615,16,15,16:15,Afternoon,False
1630,16,30,16:30,Afternoon,False
1645,16,45,16:45,Afternoon,False
1700,17,0,17:00,Evening,True
1715,17,15,17:15,Evening,True
1730,17,30,17:30,Evening,True
1745,17,45,17:45,Evening,True
1800,18,0,18:00,Evening,True
1815,18,15,18:15,Evening,True
1830,18,30,18:30,Evening,True
1845,18,45,18:45,Evening,True
1900,19,0,19:00,Evening,True
1915,19,15,19:15,Evening,True
1930,19,30,19:30,Evening,True
1945,19,45,19:45,Evening,True
2000,20,0,20:00,Evening,False
2015,20,15,20:15,Evening,False
2030,20,30,20:30,Evening,False
2045,20,45,20:45,Evening,False
2100,21,0,21:00,Night,False
2115,21,15,21:15,Night,False
2130,21,30,21:30,Night,False
2145,21,45,21:45,Night,False
2200,22,0,22:00,Night,False
2215,22,15,22:15,Night,False
2230,22,30,22:30,Night,False
2245,22,45,22:45,Night,False
2300,23,0,23:00,Night,False
2315,23,15,23:15,Night,False
2330,23,30,23:30,Night,False
2345,23,45,23:45,Night,False
