segment_key,scheduled_departure_date_key,scheduled_departure_time_key,actual_departure_date_key,actual_departure_time_key,passenger_key,passenger_profile_key,segment_origin_airport_key,segment_destination_airport_key,aircraft_key,class_of_service_key,fare_basis_key,booking_channel_key,confirmation_number,ticket_number,segment_sequence_number,flight_number,base_fare_revenue_usd,passenger_facility_charges_usd,airport_tax_usd,government_tax_usd,baggage_charges_usd,upgrade_fees_usd,transaction_fees_usd,total_revenue_usd,segment_miles_flown,segment_miles_earned,delay_minutes,seat_capacity,flight_status,load_factor_pct
1,998,1930,998,1930,2544,497,4,11,20,2,5,1,CNF25420412,TKT3190577204,1,GA793,443.6,11.09,28.86,46.45,0.0,0,0.0,530.0,2176,7615,0,334,Flown,85.1
2,540,2045,540,2045,1702,1287,6,13,71,8,2,1,CNF41007941,TKT9324538109,1,GA823,228.86,5.94,9.77,12.99,0.0,0,0.0,257.56,3743,1590,0,163,Flown,58.9
3,1069,1615,1069,1615,1886,476,14,7,26,12,2,2,CNF79412248,TKT7098726496,3,GA532,149.01,11.32,10.82,14.12,0.0,100,0.0,285.27,6901,2932,0,181,Flown,69.9
4,558,1715,558,1715,209,1499,13,4,29,10,6,2,CNF32251742,TKT2404326118,2,GA288,1222.62,6.57,95.44,118.67,0.0,0,0.0,1443.3,6316,16800,0,67,Flown,58.9
5,363,1600,363,1600,444,755,18,9,21,7,4,2,CNF90034686,TKT1630702867,1,GA314,390.12,23.99,22.19,43.17,50.0,0,0.0,529.47,3718,3625,0,294,Cancelled,45.7
6,181,930,181,930,2413,1350,12,2,69,7,4,2,CNF20200953,TKT6621953689,4,GA361,371.86,21.62,36.35,29.01,0.0,0,0.0,458.84,3796,3701,0,400,Flown,42.0
7,441,1900,441,1900,2769,2116,12,11,5,14,6,3,CNF00577950,TKT0173259007,4,GA469,796.02,10.33,41.63,64.11,0.0,0,63.68,975.77,6408,17045,11,172,Flown,54.4
8,650,1815,650,1815,2921,4253,12,21,2,8,1,2,CNF39713072,TKT2113869087,1,GA167,131.36,6.66,5.61,6.84,0.0,0,0.0,150.47,1183,709,18,175,Cancelled,89.6
9,698,430,698,430,2427,1352,18,14,65,23,4,1,CNF16722104,TKT5461719281,3,GA441,755.38,5.3,43.46,52.82,50.0,0,0.0,906.96,793,773,69,68,Flown,82.4
10,8,1600,8,1600,1058,649,2,13,62,18,5,6,CNF70744360,TKT2344225216,4,GA878,1204.62,29.0,81.09,96.79,0.0,0,144.55,1556.05,3951,13828,0,177,Flown,94.4
11,464,330,464,330,2549,3370,20,5,67,12,3,3,CNF02523941,TKT2094477269,3,GA533,105.7,29.39,5.16,12.48,0.0,50,8.46,211.19,7547,2075,65,169,Flown,75.7
12,995,945,995,945,2765,824,6,2,36,12,3,4,CNF03265513,TKT2761794802,4,GA486,71.1,23.88,7.09,6.86,0.0,0,7.11,116.04,3912,1075,0,179,Flown,51.1
13,25,230,25,230,2390,2083,4,20,47,22,5,3,CNF45598516,TKT0211915891,4,GA832,1093.71,24.87,48.79,111.86,50.0,0,87.5,1416.73,3712,12991,0,67,Flown,77.0
14,332,1130,332,1130,360,2420,15,13,15,4,2,2,CNF26864986,TKT4786862376,4,GA479,151.2,18.84,13.75,14.42,0.0,0,0.0,198.21,2455,1043,0,391,Flown,90.1
15,370,1145,370,1145,2598,357,18,6,62,4,2,1,CNF00884474,TKT0837819190,2,GA908,308.01,26.62,16.34,30.2,25.0,0,0.0,406.17,6598,2804,230,177,Flown,94.0
16,615,1930,615,1930,304,972,9,5,33,17,7,1,CNF74992164,TKT0069836923,4,GA758,1994.72,10.33,144.06,206.06,25.0,0,0.0,2380.17,2168,23848,86,77,Flown,94.9
17,786,600,786,600,1032,4467,12,2,45,12,2,3,CNF53484864,TKT7082139865,1,GA381,106.62,20.9,5.29,8.29,50.0,0,8.53,199.63,3544,1506,0,168,Flown,87.7
18,852,1030,852,1030,1468,1094,7,20,2,16,3,3,CNF46220212,TKT3720550330,4,GA622,136.09,14.03,10.24,11.15,0.0,0,10.89,182.4,2159,593,0,175,Flown,90.3
19,610,1330,610,1330,699,876,13,18,22,8,1,4,CNF00088634,TKT6739190088,2,GA387,104.42,25.21,4.71,12.91,0.0,0,10.44,157.69,3470,2082,1,168,Flown,96.0
20,881,2345,881,2345,1869,2568,21,12,26,24,3,2,CNF99114160,TKT0916923273,4,GA897,79.44,7.84,5.83,9.42,50.0,0,0.0,152.53,5385,1480,0,181,Flown,55.4
21,693,630,693,630,771,1948,5,15,63,4,2,1,CNF79897906,TKT0854818674,1,GA456,201.56,12.79,16.25,15.08,0.0,0,0.0,245.68,4371,1857,0,337,Flown,65.3
22,134,700,134,700,813,1991,20,9,32,2,6,2,CNF63000998,TKT4336113711,1,GA885,694.47,26.91,61.32,70.14,50.0,0,0.0,902.84,6663,17723,16,74,Flown,92.8
23,324,900,324,900,2978,703,20,9,48,19,4,2,CNF81519854,TKT5829420340,2,GA133,559.79,29.61,43.81,41.34,0.0,200,0.0,874.55,5785,5640,0,164,Flown,95.3
24,209,1445,209,1445,2337,498,7,17,21,15,4,2,CNF15353466,TKT0756999449,2,GA697,167.19,14.04,9.49,13.47,25.0,0,0.0,229.19,2402,2341,0,294,Flown,83.4
25,346,1945,346,1945,378,1199,13,4,67,4,2,1,CNF46672010,TKT8240281822,4,GA333,181.38,9.57,8.14,19.29,25.0,50,0.0,293.38,5065,2152,109,169,Flown,98.0
26,200,1700,200,1700,405,4787,11,9,54,3,4,2,CNF38794026,TKT2085817452,1,GA886,1.34,17.91,12.21,18.77,1608.32,0,0.0,1658.55,2448,2386,0,300,Flown,68.8
27,682,1830,682,1830,1470,2676,2,11,13,9,7,2,CNF73536423,TKT5700412918,3,GA467,2029.36,13.88,137.02,234.74,0.0,0,0.0,2415.0,3823,42053,20,393,No-Show,87.9
28,179,700,179,700,590,1791,15,13,9,20,3,1,CNF28518161,TKT2559046100,3,GA373,78.58,22.06,4.79,6.57,0.0,0,0.0,112.0,2806,771,0,177,Flown,68.1
29,140,1630,140,1630,1889,2474,4,9,5,16,2,3,CNF79230466,TKT0012838271,4,GA566,62.21,12.06,5.32,3.33,0.0,0,4.98,87.9,4365,1855,27,172,Flown,96.0
30,912,0,912,0,1686,1386,17,9,18,6,6,1,CNF01232961,TKT5120485076,2,GA759,446.94,16.7,43.83,61.43,0.0,0,0.0,568.9,3484,9267,0,69,Flown,44.2
