hotel_stay_key,reservation_date_key,arrival_date_key,departure_date_key,customer_key,hotel_property_key,booking_channel_key,confirmation_number,ticket_number,number_of_nights,room_type_code,room_type_name,nightly_rate_usd,extended_room_charge_usd,tax_charge_usd,extra_charges_usd,commission_paid_usd,net_revenue_usd,total_bill_usd,reservation_status,lead_time_days,linked_flight_segment
1,899,918,921,1973,2,2,HCF93148692,HTK5834103787,3,STD,Standard Room,252.83,758.49,49.3,57.0,0.0,758.49,864.79,Checked-Out,19,False
2,691,701,703,1045,51,2,HCF00192479,HTK1494202897,2,DLX,Deluxe Room,550.23,1100.46,104.54,0.0,0.0,1100.46,1205.0,Checked-Out,10,True
3,798,816,817,170,49,1,HCF92737340,HTK9420468526,1,STD,Standard Room,231.89,231.89,23.19,0.0,0.0,231.89,255.08,Checked-Out,18,False
4,531,533,534,1322,37,1,HCF17279315,HTK7673072335,1,DLX,Deluxe Room,133.2,133.2,11.99,0.0,0.0,133.2,145.19,Checked-Out,2,True
5,1020,1027,1030,423,53,1,HCF89236783,HTK0093481126,3,STD,Standard Room,175.09,525.27,44.65,0.0,0.0,525.27,569.92,Checked-Out,7,False
6,960,1000,1005,2094,48,1,HCF86081851,HTK8184619580,5,DLX,Deluxe Room,294.02,1470.1,147.01,0.0,0.0,1470.1,1617.11,Checked-Out,40,False
7,767,782,784,166,30,2,HCF58754416,HTK0832995100,2,STD,Standard Room,397.08,794.16,38.12,33.74,0.0,794.16,866.02,No-Show,15,True
8,781,782,783,1386,64,1,HCF86008962,HTK0547600643,1,STD,Standard Room,773.18,773.18,81.18,0.0,0.0,773.18,854.36,Checked-Out,1,False
9,235,245,247,243,12,2,HCF31552108,HTK8433486278,2,SUT,Suite,528.39,1056.78,73.97,0.0,0.0,1056.78,1130.75,Checked-Out,10,True
10,789,793,794,418,4,2,HCF23989599,HTK7758073761,1,STD,Standard Room,48.57,48.57,3.16,0.0,0.0,48.57,51.73,Checked-Out,4,False
11,507,515,520,1850,38,4,HCF08007364,HTK0891432253,5,DLX,Deluxe Room,161.85,809.25,60.69,58.31,80.92,728.33,928.25,Checked-Out,8,False
12,639,672,673,1966,8,3,HCF56684453,HTK7854077665,1,SUT,Suite,690.62,690.62,37.98,0.0,55.25,635.37,728.6,Checked-Out,33,True
13,213,214,216,2891,41,2,HCF21649506,HTK9655644974,2,SUT,Suite,251.66,503.32,35.23,0.0,0.0,503.32,538.55,Checked-Out,1,True
14,704,716,718,2701,54,1,HCF35101330,HTK9667667452,2,SUT,Suite,199.59,399.18,33.93,0.0,0.0,399.18,433.11,Checked-Out,12,True
15,689,690,693,2247,21,1,HCF87732096,HTK2298193889,3,SUT,Suite,126.91,380.73,19.04,42.76,0.0,380.73,442.53,Checked-Out,1,False
16,195,226,228,22,16,3,HCF44690005,HTK9937639356,2,DLX,Deluxe Room,208.02,416.04,29.12,0.0,33.28,382.76,445.16,Checked-Out,31,False
17,438,446,447,1750,53,2,HCF51811629,HTK6441158124,1,STD,Standard Room,220.37,220.37,18.73,0.0,0.0,220.37,239.1,Checked-Out,8,True
18,197,227,230,493,35,4,HCF26697928,HTK6913889987,3,DLX,Deluxe Room,1226.58,3679.74,331.18,17.6,367.97,3311.77,4028.52,Checked-Out,30,True
19,612,629,630,1316,22,2,HCF34907770,HTK3506827938,1,STD,Standard Room,122.02,122.02,6.1,0.0,0.0,122.02,128.12,Cancelled,17,False
