currency_key,currency_code,currency_name,currency_symbol,usd_exchange_rate,rate_effective_date,is_base_currency,region
1,USD,US Dollar,$,1.0,2024-01-01,True,Americas
2,IDR,Indonesian Rupiah,Rp,15850.0,2024-01-01,False,Southeast Asia
3,SGD,Singapore Dollar,S$,1.35,2024-01-01,False,Southeast Asia
4,MYR,Malaysian Ringgit,RM,4.68,2024-01-01,False,Southeast Asia
5,THB,Thai Baht,฿,36.5,2024-01-01,False,Southeast Asia
6,JPY,Japanese Yen,¥,149.5,2024-01-01,False,East Asia
7,AUD,Australian Dollar,A$,1.53,2024-01-01,False,Oceania
8,AED,UAE Dirham,د.إ,3.6725,2024-01-01,False,Middle East
9,GBP,British Pound,£,0.79,2024-01-01,False,Europe
10,HKD,Hong Kong Dollar,HK$,7.82,2024-01-01,False,East Asia
