payment_key,payment_date_key,payment_time_key,customer_key,payment_method_key,currency_key,flight_segment_key,hotel_stay_key,payment_reference,invoice_number,payment_status,payment_gateway,installment_months,gross_amount_usd,discount_amount_usd,tax_amount_usd,net_amount_usd,refund_amount_usd,gateway_fee_usd,loyalty_points_used,loyalty_points_earned,transaction_amount_local,source_reference_num,transaction_source
1,774,145,2760,1,4,8800.0,,PAY89328804072,INV-XQ386-255118,Completed,Midtrans,0,291.98,29.2,22.56,285.34,0.0,5.71,0,570,1335.39,CNF37708526,HOTEL
2,537,1900,1034,1,2,11861.0,,PAY87981135119,INV-HD718-147815,Refunded,Xendit,0,203.04,0.0,24.83,227.87,227.87,4.1,0,0,3611739.5,CNF80195787,AIRLINE
3,558,2100,238,14,2,10197.0,,PAY62600070561,INV-HF489-707124,Completed,Midtrans,24,721.81,0.0,84.56,806.37,0.0,16.13,0,2419,12780964.5,CNF42908009,AIRLINE
4,387,700,1492,5,2,2284.0,,PAY20031716712,INV-OQ343-122200,Completed,Adyen,0,1746.45,0.0,170.4,1916.85,0.0,28.75,0,1916,30382072.5,CNF59137206,AGENT
5,658,1230,1965,4,2,9510.0,,PAY91796484473,INV-QG097-100201,Completed,Xendit,0,2001.6,0.0,182.06,2183.66,0.0,39.31,0,2183,34611011.0,CNF50547096,AGENT
6,724,1600,220,5,2,7833.0,,PAY77863644185,INV-ZQ534-578688,Completed,Xendit,0,818.94,122.84,57.51,753.61,0.0,13.56,0,753,11944718.5,CNF72286298,AGENT
7,179,1800,525,14,1,9120.0,,PAY50399899080,INV-LY912-425089,Completed,Xendit,0,5070.05,0.0,419.79,5489.84,0.0,98.82,0,16469,5489.84,CNF45318732,PARTNER
8,475,330,273,12,1,4833.0,,PAY72768160106,INV-CJ204-942811,Completed,Adyen,0,376.54,56.48,39.1,359.16,0.0,5.39,0,359,359.16,CNF03060195,AGENT
9,137,1615,898,5,8,11706.0,,PAY55733796968,INV-MG361-394556,Completed,Midtrans,0,425.88,0.0,50.98,476.86,0.0,9.54,437,2384,1751.27,CNF91776775,HOTEL
10,1076,1130,1176,1,4,168.0,,PAY24874473179,INV-HH144-204966,Chargeback,Midtrans,0,5626.69,281.33,457.95,5803.31,5803.31,116.07,0,0,27159.49,CNF45260756,HOTEL
11,1063,1200,973,1,2,5238.0,,PAY76266869409,INV-YV447-879091,Pending,Xendit,3,4647.7,0.0,551.2,5198.9,0.0,93.58,0,0,82402565.0,CNF64922073,AIRLINE
12,91,1745,1222,2,2,8365.0,,PAY72207945514,INV-OB225-607918,Partial Refund,Xendit,0,1687.2,0.0,191.53,1878.73,766.24,33.82,0,0,29777870.5,CNF46159973,AGENT
13,546,515,644,1,2,11028.0,,PAY01005774681,INV-LJ385-839092,Completed,Midtrans,0,1470.51,0.0,161.63,1632.14,0.0,32.64,0,3264,25869419.0,CNF44699285,PARTNER
14,677,345,2744,13,3,11169.0,,PAY83577318776,INV-SZ697-152173,Refunded,Midtrans,0,339.73,0.0,27.49,367.22,367.22,7.34,0,0,495.75,CNF05596505,AIRLINE
15,499,115,873,1,4,2876.0,,PAY00083906136,INV-FM397-345315,Completed,Stripe,3,137.17,0.0,11.03,148.2,0.0,4.3,0,148,693.58,CNF59602339,AGENT
16,347,830,1276,7,2,3447.0,,PAY00020574878,INV-XD146-819702,Completed,Midtrans,0,5075.26,253.76,454.14,5275.64,0.0,105.51,0,5275,83618894.0,CNF48521121,AGENT
17,484,415,2271,2,2,5687.0,,PAY84024473645,INV-NZ208-720066,Completed,Stripe,0,314.24,0.0,38.42,352.66,0.0,10.23,88,352,5589661.0,CNF82368831,HOTEL
18,428,800,2877,9,2,10672.0,,PAY97384612018,INV-IP902-461749,Refunded,Midtrans,0,1723.83,0.0,202.97,1926.8,1926.8,38.54,0,0,30539780.0,CNF62633112,AGENT
19,321,1300,2473,5,2,4303.0,,PAY66660330936,INV-GK611-828959,Completed,Xendit,0,563.34,0.0,59.27,622.61,0.0,11.21,0,1245,9868368.5,CNF74141745,AGENT
20,727,1930,1635,9,6,10251.0,,PAY11064642837,INV-OT067-664501,Completed,Xendit,0,730.67,0.0,92.24,822.91,0.0,14.81,1689,822,123025.04,CNF19189914,PARTNER
21,233,2245,2527,5,2,13000.0,,PAY63651046544,INV-EH044-513078,Completed,Midtrans,0,222.62,33.39,17.15,206.38,0.0,4.13,0,206,3271123.0,CNF78518155,AIRLINE
22,631,245,781,13,7,13092.0,,PAY29306706659,INV-AP410-083684,Refunded,Midtrans,0,1580.83,0.0,177.01,1757.84,1757.84,35.16,0,0,2689.5,CNF50685631,PARTNER
23,655,545,2531,9,2,7868.0,,PAY06966309011,INV-YL743-554378,Pending,Adyen,0,5321.65,266.08,419.73,5475.3,0.0,82.13,0,0,86783505.0,CNF47028155,AGENT
24,684,300,488,12,5,2306.0,,PAY62666209818,INV-HP962-398226,Completed,Midtrans,0,324.93,16.25,25.91,334.59,0.0,6.69,0,669,12212.54,CNF61116859,AIRLINE
25,446,615,2209,2,2,8972.0,,PAY09778771094,INV-HX274-001927,Completed,Xendit,0,4875.73,243.79,485.32,5117.26,0.0,92.11,0,5117,81108571.0,CNF23332749,AGENT
26,422,215,453,9,2,1663.0,,PAY11759144675,INV-AB417-712041,Completed,Midtrans,0,155.48,23.32,13.06,145.22,0.0,2.9,2608,726,2301737.0,CNF64089779,PARTNER
27,88,1545,152,10,6,5970.0,,PAY34786518082,INV-KW222-878391,Completed,Midtrans,0,116.43,0.0,12.47,128.9,0.0,2.58,0,257,19270.55,CNF42202129,AGENT
28,390,1500,1178,1,2,1402.0,,PAY65521998305,INV-WA635-155009,Completed,Xendit,0,174.43,0.0,15.51,189.94,0.0,3.42,0,379,3010549.0,CNF05373808,PARTNER
29,967,630,2835,14,2,10119.0,,PAY64214714782,INV-LE076-813717,Refunded,Adyen,0,294.66,0.0,26.37,321.03,321.03,4.82,0,0,5088325.5,CNF79688343,AGENT
30,132,1600,1052,2,3,1941.0,,PAY78788826694,INV-KH297-534727,Completed,Xendit,0,72.38,0.0,7.24,79.62,0.0,1.43,3219,238,107.49,CNF42811587,PARTNER
31,671,1015,217,10,2,5862.0,,PAY93698917202,INV-NX205-376652,Completed,DOKU,0,62.84,9.43,5.18,58.59,0.0,1.29,0,175,928651.5,CNF15385360,PARTNER
32,1018,1145,2205,1,2,697.0,,PAY09784485376,INV-PJ103-631860,Completed,PayPal,0,7119.54,0.0,660.06,7779.6,0.0,264.51,0,7779,123306660.0,CNF77140344,HOTEL
33,961,1245,438,7,4,11645.0,,PAY60294515568,INV-QA295-506971,Completed,Midtrans,0,497.01,0.0,47.03,544.04,0.0,10.88,0,1088,2546.11,CNF36840651,AIRLINE
34,453,400,1201,1,4,11874.0,,PAY13081307688,INV-WO477-614759,Completed,Xendit,0,272.79,0.0,25.63,298.42,0.0,5.37,75,298,1396.61,CNF40162475,AGENT
35,618,30,412,13,2,6441.0,,PAY61567386284,INV-CL951-959040,Completed,Midtrans,0,7090.97,354.55,771.74,7508.16,0.0,150.16,0,7508,119004336.0,CNF28072716,AGENT
36,685,2215,488,1,2,2306.0,,PAY04565439023,INV-LP165-382309,Completed,Midtrans,0,324.93,0.0,33.67,358.6,0.0,7.17,0,717,5683810.0,CNF61116859,AGENT
37,673,1130,701,1,2,491.0,,PAY45174911470,INV-BQ435-646608,Completed,Midtrans,0,141.33,0.0,11.48,152.81,0.0,3.06,0,152,2422038.5,CNF76841876,AGENT
38,30,1530,662,7,2,4791.0,,PAY12780237020,INV-FK434-677901,Failed,Adyen,0,81.35,0.0,8.85,90.2,0.0,1.35,0,0,1429670.0,CNF10070573,PARTNER
39,585,330,2633,7,2,1460.0,,PAY90130278447,INV-WG509-910121,Failed,Xendit,0,165.97,0.0,16.18,182.15,0.0,3.28,0,0,2887077.5,CNF00479046,AGENT
40,995,115,557,9,2,14469.0,,PAY64960470193,INV-TR645-991559,Completed,Midtrans,0,545.66,0.0,48.17,593.83,0.0,11.88,0,593,9412205.5,CNF49437611,PARTNER
41,629,530,35,2,5,10752.0,,PAY27996590694,INV-TH008-866004,Completed,Internal,0,95.64,4.78,10.78,101.64,0.0,0.0,2696,304,3709.86,CNF84117050,AIRLINE
42,547,0,1180,1,2,7476.0,,PAY18811520554,INV-PM268-128456,Completed,Xendit,0,4726.42,472.64,389.57,4643.35,0.0,83.58,0,4643,73597097.5,CNF95002880,AGENT
43,816,2000,527,1,2,10525.0,,PAY81945440732,INV-JU199-727718,Completed,Midtrans,0,991.14,0.0,124.25,1115.39,0.0,22.31,237,2230,17678931.5,CNF81339643,PARTNER
44,954,1000,985,7,2,2689.0,,PAY95894760244,INV-NL236-212363,Completed,Adyen,0,1533.21,0.0,189.43,1722.64,0.0,25.84,0,1722,27303844.0,CNF45719916,AIRLINE
45,631,100,1881,2,6,4061.0,,PAY48644696338,INV-AI805-448720,Completed,Midtrans,0,184.63,9.23,15.6,191.0,0.0,3.82,0,191,28554.5,CNF18563069,PARTNER
46,202,2130,412,7,9,5289.0,,PAY26069648307,INV-LL321-365184,Completed,PayPal,0,138.29,0.0,14.67,152.96,0.0,5.2,0,152,120.84,CNF25458728,AGENT
47,756,900,2189,9,2,11802.0,,PAY81696514619,INV-ZV150-911237,Completed,Xendit,0,116.94,5.85,11.91,123.0,0.0,2.21,0,246,1949550.0,CNF63560970,AGENT
48,13,915,2551,2,1,2854.0,,PAY56470384262,INV-PC444-326351,Completed,DOKU,0,1778.79,0.0,175.19,1953.98,0.0,42.99,2035,3907,1953.98,CNF83695700,PARTNER
49,283,2200,1882,1,4,14220.0,,PAY75599115984,INV-RM230-614082,Completed,Stripe,0,2129.36,319.4,229.94,2039.9,0.0,59.16,0,10199,9546.73,CNF38838736,AIRLINE
