booking_id,customer_id,booking_date,booking_channel,fare_basis_code
BKG00000001,CUS0001979,2025-07-24,WEB,FLXFST
BKG00000002,CUS0000268,2023-06-08,WEB,YOWUS
BKG00000003,CUS0001257,2026-04-10,OTA,CLXSAV
BKG00000004,CUS0002746,2023-06-16,MOB,FLXFST
BKG00000005,CUS0001982,2026-02-08,CTR,FLXFST
BKG00000006,CUS0001579,2025-02-24,CTR,FLXFST
BKG00000007,CUS0000423,2024-11-19,CTR,FLXFST
BKG00000008,CUS0001056,2026-01-11,AGT,FLXFST
BKG00000009,CUS0001424,2024-12-26,GDS,CLXSAV
BKG00000010,CUS0004238,2024-05-07,MOB,FLXFST
BKG00000011,CUS0001893,2024-06-20,WEB,BSSAVE
BKG00000012,CUS0004131,2025-05-22,WEB,FLXFST
BKG00000013,CUS0002132,2025-10-25,CTR,BSSAVE
BKG00000014,CUS0002642,2024-11-17,MOB,YOWRS
BKG00000015,CUS0000765,2026-05-02,WEB,FLXFST
BKG00000016,CUS0000095,2025-06-13,AGT,BSSAVE
BKG00000017,CUS0000228,2025-01-13,CTR,YOWRS
BKG00000018,CUS0004685,2024-10-13,GDS,YOWUS
BKG00000019,CUS0001070,2023-09-13,GDS,CLXSAV
BKG00000020,CUS0001529,2024-04-22,MOB,WOWBUS
BKG00000021,CUS0002433,2025-12-26,MOB,WOWBUS
BKG00000022,CUS0003098,2025-04-03,OTA,YOWUS
BKG00000023,CUS0002253,2023-08-12,WEB,BSSAVE
BKG00000024,CUS0000190,2023-10-20,AGT,YOWRS
BKG00000025,CUS0000909,2024-04-24,GDS,YOWRS
BKG00000026,CUS0000878,2023-10-18,MOB,CLXBUS
BKG00000027,CUS0002147,2024-05-09,MOB,YOWRS
BKG00000028,CUS0000634,2023-12-10,GDS,CLXSAV
BKG00000029,CUS0001704,2023-10-11,GDS,YOWRS
BKG00000030,CUS0004023,2023-07-09,WEB,FLXFST
BKG00000031,CUS0000603,2025-06-18,GDS,YOWRS
BKG00000032,CUS0001723,2026-01-27,AGT,FLXFST
BKG00000033,CUS0003075,2023-06-13,OTA,GRPECO
BKG00000034,CUS0001320,2024-05-08,MOB,CLXBUS
BKG00000035,CUS0000084,2024-02-13,MOB,YOWUS
BKG00000036,CUS0000961,2024-08-05,OTA,CLXSAV
BKG00000037,CUS0003965,2025-05-10,CTR,YOWUS
BKG00000038,CUS0001298,2023-12-18,CTR,CLXBUS
BKG00000039,CUS0000997,2025-04-30,MOB,YOWUS
BKG00000040,CUS0004391,2026-05-04,WEB,BSSAVE
BKG00000041,CUS0001772,2023-11-21,OTA,YOWRS
BKG00000042,CUS0001778,2024-01-07,WEB,CLXSAV
BKG00000043,CUS0001136,2026-02-11,MOB,YOWRS
BKG00000044,CUS0001037,2023-12-09,OTA,CLXBUS
BKG00000045,CUS0003946,2024-09-03,MOB,YOWRS
BKG00000046,CUS0002856,2025-02-07,AGT,CLXBUS
BKG00000047,CUS0003827,2024-05-14,AGT,GRPECO
BKG00000048,CUS0003573,2025-11-27,CTR,FLXFST
BKG00000049,CUS0001582,2024-09-17,OTA,BSSAVE
BKG00000050,CUS0001622,2025-08-21,AGT,CLXBUS
BKG00000051,CUS0003219,2024-07-05,WEB,CLXBUS
BKG00000052,CUS0001358,2023-10-04,MOB,GRPECO
BKG00000053,CUS0003551,2025-10-10,GDS,FLXFST
BKG00000054,CUS0004886,2024-08-23,AGT,CLXBUS
BKG00000055,CUS0002612,2025-10-19,CTR,YOWRS
BKG00000056,CUS0004975,2025-07-16,GDS,FLXFST
BKG00000057,CUS0001637,2025-04-01,CTR,CLXSAV
BKG00000058,CUS0003064,2026-01-15,AGT,YOWRS
BKG00000059,CUS0003682,2024-05-10,MOB,YOWUS
BKG00000060,CUS0004190,2024-09-24,OTA,FLXFST
BKG00000061,CUS0002405,2023-06-01,CTR,CLXSAV
BKG00000062,CUS0003263,2024-01-06,WEB,YOWRS
BKG00000063,CUS0001474,2025-08-30,OTA,FLXFST
BKG00000064,CUS0001524,2026-04-11,OTA,WOWBUS
BKG00000065,CUS0000596,2024-12-15,MOB,CLXSAV
BKG00000066,CUS0003048,2023-05-31,MOB,CLXSAV
BKG00000067,CUS0001002,2023-10-30,WEB,CLXSAV
BKG00000068,CUS0000090,2024-07-04,AGT,CLXSAV
BKG00000069,CUS0001752,2025-04-01,GDS,CLXSAV
BKG00000070,CUS0001906,2025-08-17,CTR,YOWRS
BKG00000071,CUS0003159,2025-12-28,OTA,WOWBUS
BKG00000072,CUS0004320,2025-05-03,MOB,YOWRS
BKG00000073,CUS0004596,2025-04-04,OTA,YOWRS
BKG00000074,CUS0004702,2024-04-26,AGT,FLXFST
BKG00000075,CUS0003566,2024-11-20,OTA,CLXSAV
BKG00000076,CUS0001624,2024-04-04,MOB,YOWUS
BKG00000077,CUS0004047,2026-04-23,GDS,YOWUS
BKG00000078,CUS0002249,2025-03-01,GDS,YOWRS
BKG00000079,CUS0001017,2026-05-11,GDS,BSSAVE
BKG00000080,CUS0004927,2025-08-02,OTA,FLXFST
BKG00000081,CUS0001937,2025-03-14,CTR,YOWUS
BKG00000082,CUS0002336,2026-04-24,WEB,YOWUS
BKG00000083,CUS0003783,2025-01-04,OTA,BSSAVE
BKG00000084,CUS0003300,2025-03-24,WEB,YOWUS
BKG00000085,CUS0002764,2025-12-13,AGT,YOWUS
BKG00000086,CUS0000569,2025-02-28,GDS,YOWRS
BKG00000087,CUS0003401,2023-08-31,AGT,CLXBUS
BKG00000088,CUS0002251,2025-04-13,OTA,CLXSAV
BKG00000089,CUS0003280,2026-01-24,WEB,CLXSAV
BKG00000090,CUS0004046,2023-07-25,CTR,YOWUS
BKG00000091,CUS0003223,2024-03-02,OTA,GRPECO
BKG00000092,CUS0004042,2025-05-29,AGT,YOWRS
BKG00000093,CUS0003064,2025-05-20,CTR,YOWRS
BKG00000094,CUS0000240,2024-11-17,MOB,YOWUS
BKG00000095,CUS0000086,2025-10-28,MOB,YOWRS
BKG00000096,CUS0002645,2023-09-21,AGT,FLXFST
BKG00000097,CUS0001855,2023-10-07,MOB,YOWRS
BKG00000098,CUS0001566,2023-06-25,AGT,CLXSAV
BKG00000099,CUS0004404,2025-04-25,WEB,YOWUS
BKG00000100,CUS0002128,2026-04-27,WEB,YOWRS
BKG00000101,CUS0000394,2024-02-07,OTA,YOWRS
BKG00000102,CUS0002161,2024-06-26,OTA,FLXFST
BKG00000103,CUS0002212,2025-08-18,AGT,BSSAVE
BKG00000104,CUS0001129,2024-04-21,CTR,GRPECO
BKG00000105,CUS0000983,2024-09-26,MOB,CLXSAV
BKG00000106,CUS0001213,2023-11-06,CTR,FLXFST
BKG00000107,CUS0003661,2025-02-28,AGT,YOWRS
BKG00000108,CUS0004275,2025-06-05,CTR,WOWBUS
BKG00000109,CUS0004735,2023-06-02,GDS,GRPECO
BKG00000110,CUS0002299,2023-11-04,OTA,GRPECO
BKG00000111,CUS0001851,2023-07-04,WEB,CLXBUS
BKG00000112,CUS0002427,2024-05-28,AGT,YOWRS
BKG00000113,CUS0002892,2026-04-14,CTR,WOWBUS
BKG00000114,CUS0001687,2025-06-29,AGT,YOWRS
BKG00000115,CUS0000616,2025-05-21,GDS,YOWUS
BKG00000116,CUS0001741,2024-10-22,WEB,WOWBUS
BKG00000117,CUS0003836,2025-03-05,GDS,WOWBUS
BKG00000118,CUS0003995,2024-12-17,WEB,CLXSAV
BKG00000119,CUS0001710,2025-08-26,CTR,CLXSAV
BKG00000120,CUS0002555,2025-03-24,AGT,GRPECO
BKG00000121,CUS0001262,2026-03-27,CTR,YOWRS
BKG00000122,CUS0001066,2026-01-18,MOB,CLXSAV
BKG00000123,CUS0003159,2024-10-03,GDS,WOWBUS
BKG00000124,CUS0003279,2025-11-24,MOB,YOWRS
BKG00000125,CUS0002277,2024-07-23,GDS,BSSAVE
BKG00000126,CUS0002517,2025-02-05,CTR,YOWRS
BKG00000127,CUS0001207,2025-06-08,GDS,YOWRS
BKG00000128,CUS0000903,2026-05-09,MOB,YOWUS
BKG00000129,CUS0003776,2024-04-13,MOB,CLXBUS
BKG00000130,CUS0000235,2025-10-04,GDS,GRPECO
BKG00000131,CUS0002884,2026-02-20,OTA,YOWRS
BKG00000132,CUS0004509,2026-04-03,WEB,CLXSAV
BKG00000133,CUS0003535,2024-11-04,MOB,BSSAVE
BKG00000134,CUS0003252,2024-03-08,CTR,FLXFST
BKG00000135,CUS0004161,2024-02-18,OTA,YOWUS
BKG00000136,CUS0003616,2023-11-05,OTA,CLXSAV
BKG00000137,CUS0000802,2025-11-10,WEB,FLXFST
BKG00000138,CUS0003462,2025-04-27,MOB,CLXBUS
BKG00000139,CUS0001552,2025-03-13,GDS,BSSAVE
BKG00000140,CUS0004867,2025-02-05,OTA,GRPECO
BKG00000141,CUS0004249,2024-07-25,GDS,YOWRS
BKG00000142,CUS0000409,2024-12-04,AGT,WOWBUS
BKG00000143,CUS0000910,2025-10-07,MOB,YOWRS
BKG00000144,CUS0000436,2023-08-16,WEB,CLXBUS
BKG00000145,CUS0001956,2025-05-20,WEB,YOWRS
BKG00000146,CUS0002257,2023-10-06,MOB,FLXFST
BKG00000147,CUS0003211,2025-12-12,GDS,YOWRS
BKG00000148,CUS0001802,2023-08-28,AGT,CLXBUS
BKG00000149,CUS0004057,2025-02-17,MOB,BSSAVE
BKG00000150,CUS0001668,2024-08-02,OTA,CLXBUS
