segment_id,booking_id,flight_number,origin_airport,destination_airport,scheduled_departure,actual_departure,status
1,BKG00000551,GA119,BDO,SUB,2023-11-15 05:35:04,2023-11-15 05:31:04,Flown
2,BKG00005715,GA582,LHR,PLM,2024-07-25 17:57:48,2024-07-25 20:04:48,Flown
3,BKG00010534,GA342,MDC,HKG,2023-11-02 19:07:25,2023-11-02 20:58:25,Flown
4,BKG00010468,GA936,LHR,SYD,2024-05-15 22:08:31,2024-05-15 23:53:31,Flown
5,BKG00004416,GA921,NRT,SYD,2025-03-17 10:00:52,2025-03-17 12:09:52,Cancelled
6,BKG00003718,GA981,KUL,SUB,2025-12-19 15:20:06,2025-12-19 16:49:06,Flown
7,BKG00009704,GA924,DPS,SUB,2025-11-02 06:27:37,2025-11-02 07:01:37,Flown
8,BKG00003174,GA973,DPS,UPG,2025-07-20 16:56:27,2025-07-20 18:30:27,Flown
9,BKG00001530,GA242,DPS,PLM,2025-04-25 02:12:31,2025-04-25 02:30:31,Flown
10,BKG00014263,GA310,KUL,CGK,2025-11-28 12:33:29,2025-11-28 15:33:29,No-Show
11,BKG00002527,GA489,NRT,SUB,2023-07-09 03:59:41,2023-07-09 04:02:41,Flown
12,BKG00000608,GA492,SIN,CGK,2026-03-13 11:20:54,2026-03-13 12:42:54,Flown
13,BKG00011841,GA278,HKG,UPG,2024-06-28 22:35:00,2024-06-29 00:47:00,Flown
14,BKG00009434,GA263,DPS,DXB,2024-12-08 11:49:09,2024-12-08 12:18:09,Flown
15,BKG00005516,GA936,LHR,SYD,2024-09-12 04:41:38,2024-09-12 06:11:38,Flown
16,BKG00006162,GA327,HKG,UPG,2025-03-17 21:03:09,2025-03-17 22:59:09,Flown
17,BKG00004865,GA479,PLM,HKG,2024-08-20 08:56:53,2024-08-20 09:09:53,Flown
18,BKG00003381,GA494,BKK,DXB,2024-03-16 02:40:11,2024-03-16 02:43:11,Flown
19,BKG00002598,GA953,BDO,SYD,2025-07-02 12:19:21,2025-07-02 13:21:21,Cancelled
20,BKG00007160,GA534,SIN,DPS,2024-06-09 19:43:56,2024-06-09 20:38:56,Flown
21,BKG00002743,GA519,PLM,SYD,2025-08-24 03:00:41,2025-08-24 03:22:41,Cancelled
22,BKG00008078,GA411,SIN,PLM,2026-05-18 08:55:31,2026-05-18 09:03:31,Flown
23,BKG00013185,GA464,BKK,CGK,2026-04-29 21:32:29,2026-04-29 22:33:29,Diverted
24,BKG00004821,GA841,BDO,DPS,2026-05-08 21:10:26,2026-05-08 21:36:26,Flown
25,BKG00009788,GA900,NRT,CGK,2023-10-10 18:34:42,2023-10-10 19:56:42,Flown
26,BKG00009901,GA560,DPS,PLM,2025-02-12 15:50:32,2025-02-12 16:53:32,Flown
27,BKG00007902,GA185,PLM,UPG,2025-06-24 04:41:55,2025-06-24 05:29:55,Flown
28,BKG00011381,GA762,HKG,PLM,2024-08-07 13:13:32,2024-08-07 13:13:32,Flown
29,BKG00010197,GA597,LHR,SYD,2025-07-01 01:03:18,2025-07-01 03:03:18,Cancelled
30,BKG00007016,GA147,MDC,SUB,2026-01-21 11:57:56,2026-01-21 12:14:56,Flown
31,BKG00003843,GA679,PLM,DXB,2024-09-12 13:51:51,2024-09-12 15:08:51,Flown
32,BKG00012653,GA859,DPS,SUB,2024-02-02 16:05:00,2024-02-02 16:19:00,Flown
33,BKG00013301,GA287,HKG,BDO,2025-07-05 04:49:40,2025-07-05 05:50:40,Flown
34,BKG00011086,GA859,SUB,PLM,2025-01-08 05:21:32,2025-01-08 05:16:32,Flown
35,BKG00010012,GA907,LHR,HKG,2025-09-12 06:35:23,2025-09-12 08:24:23,Flown
36,BKG00000439,GA643,KUL,PLM,2024-12-19 16:05:41,2024-12-19 18:15:41,Flown
37,BKG00011769,GA866,MDC,PLM,2024-10-17 20:04:53,2024-10-17 22:08:53,Flown
38,BKG00003677,GA537,BDO,BKK,2023-10-02 00:26:19,2023-10-02 03:01:19,Flown
39,BKG00007346,GA482,UPG,NRT,2024-08-28 23:44:08,2024-08-29 01:57:08,Flown
