guest_id,customer_key,preferred_room_type,smoking_preference,special_request,created_at
CUS0000001,1,DLX,Non-Smoking,Late Check-In,2025-04-02
CUS0000002,2,DLX,Non-Smoking,High Floor,2026-02-23
CUS0000003,3,DLX,Non-Smoking,High Floor,2026-01-07
CUS0000004,4,EXC,Non-Smoking,None,2024-08-30
CUS0000005,5,DLX,Non-Smoking,None,2025-02-22
CUS0000006,6,DLX,Non-Smoking,None,2025-11-14
CUS0000007,7,EXC,Non-Smoking,Late Check-In,2025-05-28
CUS0000008,8,STD,Non-Smoking,Late Check-In,2026-05-10
CUS0000009,9,DLX,Non-Smoking,Late Check-In,2024-07-06
CUS0000010,10,DLX,Smoking,Late Check-In,2024-09-02
CUS0000011,11,EXC,Non-Smoking,Baby Cot,2025-12-18
CUS0000012,12,DLX,Non-Smoking,Near Elevator,2026-03-26
CUS0000013,13,STD,Non-Smoking,High Floor,2025-12-02
CUS0000014,14,STD,Non-Smoking,Baby Cot,2025-09-01
CUS0000015,15,STD,Non-Smoking,Late Check-In,2026-01-19
CUS0000016,16,SUP,Smoking,None,2025-12-25
CUS0000017,17,SUP,Non-Smoking,Near Elevator,2024-09-17
CUS0000018,18,EXC,Non-Smoking,None,2025-09-08
CUS0000019,19,DLX,Non-Smoking,High Floor,2025-04-06
CUS0000020,20,DLX,Non-Smoking,Baby Cot,2024-08-28
CUS0000021,21,SUP,Smoking,Near Elevator,2024-08-06
CUS0000022,22,STD,Non-Smoking,Baby Cot,2024-08-24
CUS0000023,23,STD,Non-Smoking,Late Check-In,2024-09-12
CUS0000024,24,EXC,Non-Smoking,Baby Cot,2025-01-08
CUS0000025,25,DLX,Non-Smoking,Near Elevator,2024-10-06
CUS0000026,26,DLX,Non-Smoking,Baby Cot,2024-10-08
CUS0000027,27,STD,Non-Smoking,High Floor,2025-04-07
CUS0000028,28,STD,Non-Smoking,None,2024-09-14
CUS0000029,29,SUT,Non-Smoking,Near Elevator,2026-05-11
CUS0000030,30,SUP,Non-Smoking,High Floor,2024-11-01
CUS0000031,31,DLX,Non-Smoking,Near Elevator,2026-04-07
CUS0000032,32,SUP,Non-Smoking,High Floor,2025-08-02
CUS0000033,33,SUT,Non-Smoking,High Floor,2025-01-26
CUS0000034,34,SUP,Non-Smoking,Baby Cot,2026-01-12
CUS0000035,35,DLX,Non-Smoking,Baby Cot,2025-06-15
CUS0000036,36,DLX,Smoking,Baby Cot,2026-02-02
CUS0000037,37,STD,Non-Smoking,None,2024-11-21
CUS0000038,38,SUP,Non-Smoking,Baby Cot,2026-03-12
CUS0000039,39,DLX,Smoking,High Floor,2024-12-10
CUS0000040,40,STD,Non-Smoking,Baby Cot,2024-08-23
CUS0000041,41,STD,Non-Smoking,None,2026-03-21
CUS0000042,42,STD,Non-Smoking,None,2026-02-21
CUS0000043,43,DLX,Non-Smoking,Late Check-In,2025-02-28
CUS0000044,44,DLX,Non-Smoking,High Floor,2024-10-15
CUS0000045,45,SUT,Non-Smoking,Baby Cot,2025-11-01
CUS0000046,46,EXC,Non-Smoking,High Floor,2024-07-19
CUS0000047,47,DLX,Smoking,Late Check-In,2025-06-17
CUS0000048,48,SUP,Non-Smoking,Late Check-In,2025-01-02
CUS0000049,49,SUT,Non-Smoking,Baby Cot,2024-06-01
CUS0000050,50,SUP,Non-Smoking,Near Elevator,2025-08-21
CUS0000051,51,DLX,Non-Smoking,Baby Cot,2026-03-01
CUS0000052,52,SUT,Non-Smoking,Late Check-In,2024-06-30
CUS0000053,53,SUT,Non-Smoking,Baby Cot,2025-02-10
CUS0000054,54,STD,Non-Smoking,High Floor,2024-11-08
CUS0000055,55,STD,Non-Smoking,Baby Cot,2025-03-12
CUS0000056,56,SUP,Non-Smoking,High Floor,2025-03-29
CUS0000057,57,STD,Non-Smoking,Late Check-In,2025-02-09
CUS0000058,58,STD,Non-Smoking,Baby Cot,2026-02-21
CUS0000059,59,SUT,Non-Smoking,Near Elevator,2026-02-13
CUS0000060,60,STD,Non-Smoking,High Floor,2025-03-30
CUS0000061,61,SUT,Non-Smoking,Late Check-In,2025-03-19
CUS0000062,62,SUT,Smoking,Near Elevator,2025-04-10
CUS0000063,63,EXC,Non-Smoking,High Floor,2026-02-15
CUS0000064,64,SUT,Non-Smoking,High Floor,2025-03-08
CUS0000065,65,SUP,Non-Smoking,Near Elevator,2025-07-13
CUS0000066,66,STD,Smoking,None,2024-08-03
CUS0000067,67,STD,Non-Smoking,Baby Cot,2024-10-11
CUS0000068,68,SUT,Non-Smoking,Near Elevator,2026-04-07
CUS0000069,69,EXC,Non-Smoking,Late Check-In,2024-06-22
CUS0000070,70,STD,Non-Smoking,Baby Cot,2026-05-10
CUS0000071,71,DLX,Smoking,Near Elevator,2025-03-09
CUS0000072,72,STD,Non-Smoking,Baby Cot,2025-12-05
CUS0000073,73,SUT,Non-Smoking,Late Check-In,2026-03-20
CUS0000074,74,SUP,Smoking,High Floor,2025-03-29
CUS0000075,75,DLX,Non-Smoking,High Floor,2026-01-12
CUS0000076,76,SUP,Non-Smoking,Baby Cot,2025-05-03
CUS0000077,77,SUP,Non-Smoking,Late Check-In,2024-11-18
CUS0000078,78,SUP,Non-Smoking,Near Elevator,2025-01-20
CUS0000079,79,STD,Non-Smoking,High Floor,2026-03-17
CUS0000080,80,SUT,Non-Smoking,Late Check-In,2025-10-14
CUS0000081,81,DLX,Non-Smoking,Baby Cot,2024-11-15
CUS0000082,82,SUP,Smoking,Late Check-In,2025-10-13
CUS0000083,83,STD,Non-Smoking,Late Check-In,2025-12-04
CUS0000084,84,STD,Smoking,None,2025-01-20
CUS0000085,85,EXC,Non-Smoking,Near Elevator,2024-08-14
CUS0000086,86,SUT,Non-Smoking,None,2026-04-03
CUS0000087,87,SUP,Non-Smoking,Near Elevator,2025-11-09
CUS0000088,88,SUT,Non-Smoking,Near Elevator,2025-12-04
CUS0000089,89,DLX,Non-Smoking,None,2025-01-22
CUS0000090,90,SUT,Non-Smoking,None,2024-11-09
