room_inventory_id,hotel_id,room_type_code,room_type_name,room_count,base_rate_usd
1,HTL00001,STD,Standard,55,441.89
2,HTL00001,SUP,Superior,39,326.74
3,HTL00001,DLX,Deluxe,30,203.04
4,HTL00001,EXC,Executive,16,451.89
5,HTL00001,SUT,Suite,65,134.6
6,HTL00001,FAM,Family,32,382.48
7,HTL00002,STD,Standard,28,273.45
8,HTL00002,SUP,Superior,76,378.81
9,HTL00002,DLX,Deluxe,11,153.99
10,HTL00002,EXC,Executive,22,402.24
11,HTL00002,SUT,Suite,40,305.04
12,HTL00002,FAM,Family,20,444.4
13,HTL00003,STD,Standard,30,443.94
14,HTL00003,SUP,Superior,31,398.32
15,HTL00003,DLX,Deluxe,57,163.85
16,HTL00003,EXC,Executive,15,312.95
17,HTL00003,SUT,Suite,12,185.29
18,HTL00003,FAM,Family,30,109.74
19,HTL00004,STD,Standard,11,446.43
20,HTL00004,SUP,Superior,47,180.55
21,HTL00004,DLX,Deluxe,73,242.37
22,HTL00004,EXC,Executive,19,68.13
23,HTL00004,SUT,Suite,30,322.92
24,HTL00004,FAM,Family,50,430.96
25,HTL00005,STD,Standard,51,412.47
26,HTL00005,SUP,Superior,14,219.5
27,HTL00005,DLX,Deluxe,44,324.62
28,HTL00005,EXC,Executive,80,117.84
29,HTL00005,SUT,Suite,12,393.67
30,HTL00005,FAM,Family,46,382.53
31,HTL00006,STD,Standard,63,280.52
32,HTL00006,SUP,Superior,39,128.37
33,HTL00006,DLX,Deluxe,62,496.24
34,HTL00006,EXC,Executive,37,158.79
35,HTL00006,SUT,Suite,43,123.73
36,HTL00006,FAM,Family,22,245.62
37,HTL00007,STD,Standard,13,426.94
38,HTL00007,SUP,Superior,26,455.26
39,HTL00007,DLX,Deluxe,33,333.17
40,HTL00007,EXC,Executive,17,495.14
41,HTL00007,SUT,Suite,42,132.46
42,HTL00007,FAM,Family,65,116.98
43,HTL00008,STD,Standard,14,276.34
44,HTL00008,SUP,Superior,67,83.31
45,HTL00008,DLX,Deluxe,39,203.59
46,HTL00008,EXC,Executive,26,265.18
47,HTL00008,SUT,Suite,21,216.31
48,HTL00008,FAM,Family,30,154.68
49,HTL00009,STD,Standard,72,143.78
50,HTL00009,SUP,Superior,22,246.35
51,HTL00009,DLX,Deluxe,35,457.8
