payment_id,payment_reference,invoice_number,customer_key,transaction_date,transaction_time,payment_method_id,currency_code,payment_gateway,payment_status,gross_amount_usd,discount_amount_usd,tax_amount_usd,net_amount_usd,refund_amount_usd,gateway_fee_usd,installment_months,source_type,source_reference
PAY00000001,32833106-536e-45df-80b2-d002cc92d33d,INV00000001,1617,2024-11-26,06:38:17,4,IDR,Midtrans,Completed,1208.72,60.44,126.31,1274.59,0.0,25.49,6,FLIGHT,REF14789328
PAY00000002,009f0016-8028-4e32-a93f-32a9a1725102,INV00000002,4102,2026-03-16,22:59:41,1,SGD,Midtrans,Completed,260.93,26.09,25.83,260.67,0.0,5.21,0,HOTEL,REF07238625
PAY00000003,8d0d866b-1651-4537-9e07-ea63524ca98f,INV00000003,961,2026-01-18,03:13:58,2,THB,Stripe,Completed,315.17,15.76,32.94,332.35,0.0,6.65,0,FLIGHT,REF87333113
PAY00000004,70093d3e-e6b1-407c-8f62-fcd6b27db193,INV00000004,4589,2025-08-29,12:01:42,8,THB,PayPal,Completed,167.38,0.0,18.41,185.79,0.0,3.72,12,FLIGHT,REF81135119
PAY00000005,eab7658c-144f-4b6a-93cd-faf77613b8c0,INV00000005,778,2026-01-21,02:00:30,8,USD,PayPal,Refunded,1127.54,0.0,124.03,1251.57,0.0,25.03,12,FLIGHT,REF81478158
PAY00000006,c592cfc6-d7d5-44a9-9404-17910e6fd1c9,INV00000006,462,2025-04-02,15:39:35,7,THB,PayPal,Completed,559.55,55.95,55.4,559.0,0.0,11.18,3,HOTEL,REF99833976
PAY00000007,cdc98766-c4bd-4f80-a36a-7113bcf75d50,INV00000007,105,2025-03-18,23:00:01,1,USD,Adyen,Completed,1120.32,56.02,117.07,1181.37,0.0,23.63,3,FLIGHT,REF00705614
PAY00000008,9014f0ee-e7b5-471c-8107-17e7fc520fde,INV00000008,4611,2025-11-09,01:02:57,8,USD,Adyen,Completed,421.26,42.13,41.7,420.83,0.0,8.42,0,HOTEL,REF07124810
PAY00000009,5a5ae5a7-ea4e-4659-bc4b-1c03d7efff9e,INV00000009,3978,2026-05-11,08:14:45,6,MYR,PayPal,Completed,820.2,0.0,90.22,910.42,0.0,18.21,0,FLIGHT,REF69007200
PAY00000010,eca19961-aaa3-4dba-9692-16b33d6a78d8,INV00000010,723,2025-05-21,22:54:46,8,USD,Adyen,Refunded,1066.45,0.0,117.31,1183.76,0.0,23.68,0,FLIGHT,REF67123431
